Manufacturer,Category,Screen_Size,CPU,RAM,GPU,Price,Operating_System_Linux,Operating_System_No OS,Operating_System_Windows,Operating_System_macOS
1,2,7,7,7,5,11912523.48,0,0,0,1
1,2,7,7,7,3,7993374.48,0,0,0,1
7,1,14,7,7,3,5112900.0,0,1,0,0
1,2,13,7,1,1,22563005.4,0,0,0,1
1,2,7,7,7,5,16037611.2,0,0,0,1
0,1,14,0,5,1,3556800.0,0,0,1,0
1,2,13,7,1,6,19028613.24,0,0,0,1
1,2,7,7,7,3,10303160.4,0,0,0,1
2,2,10,7,1,9,13293540.0,0,0,1,0
0,2,10,7,7,7,6846840.0,0,0,1,0
7,1,14,7,5,3,3502558.8,0,1,0,0
7,1,14,7,5,3,3067651.08,0,1,0,0
1,2,13,7,1,1,21696213.24,0,0,0,1
4,1,14,7,5,1,4436218.8,0,0,1,0
1,2,3,6,7,3,11225260.8,0,0,0,1
1,2,7,7,7,5,13502946.6,0,0,0,1
4,1,14,7,7,1,6624540.0,0,0,1,0
1,2,13,7,1,1,25413336.0,0,0,0,1
10,1,14,7,7,9,4437108.0,0,1,0,0
4,2,7,7,7,7,8705268.0,0,0,1,0
2,4,2,4,3,3,1706374.8,0,0,1,0
10,3,14,7,7,9,8883108.0,0,0,1,0
7,1,14,1,5,1,2294136.0,0,1,0,0
4,4,7,7,7,7,7282548.0,0,0,1,0
7,2,14,7,7,3,5859828.0,0,0,1,0
4,1,14,7,5,3,3722546.88,0,0,1,0
1,2,7,7,7,3,9772308.0,0,0,0,1
4,1,14,7,7,1,7113600.0,0,0,1,0
4,2,14,7,7,7,11541816.0,0,0,1,0
7,1,16,7,7,9,7967232.0,0,0,1,0
3,1,14,4,5,3,2178451.08,0,0,1,0
2,1,10,1,3,1,1769508.0,0,0,1,0
7,1,16,0,5,1,3903588.0,0,0,1,0
4,2,7,7,1,7,16619148.0,0,0,1,0
1,2,7,7,7,3,8874216.0,0,0,0,1
10,1,10,5,5,3,2214108.0,0,0,1,0
0,1,14,7,5,3,3263364.0,1,0,0,0
4,1,16,7,7,1,8705268.0,0,0,1,0
7,1,14,7,5,3,4345431.48,0,0,1,0
7,1,14,7,7,9,7816068.0,0,0,1,0
2,1,14,7,5,3,3458988.0,1,0,0,0
4,3,14,7,1,9,13329108.0,0,0,1,0
2,1,14,7,7,9,4650427.08,1,0,0,0
0,1,14,7,5,7,6064344.0,0,0,1,0
4,4,16,7,0,9,8883108.0,0,0,1,0
1,2,7,7,7,4,12617748.0,0,0,0,1
10,1,14,7,5,3,3281148.0,0,1,0,0
2,3,16,3,7,1,11550708.0,0,0,1,0
4,1,14,7,5,1,5681988.0,0,0,1,0
2,1,16,8,5,9,4143672.0,0,0,1,0
10,4,0,4,5,3,2836548.0,0,0,0,0
0,1,14,7,7,9,7478172.0,0,0,1,0
7,1,14,0,5,1,3543373.08,0,0,1,0
7,1,7,7,7,7,9807876.0,0,0,1,0
0,1,14,7,5,3,3414528.0,0,0,1,0
4,1,14,7,7,1,6827277.6,0,0,1,0
7,1,14,7,5,3,3903588.0,0,0,1,0
2,1,14,7,5,3,5212401.48,0,0,1,0
11,3,16,7,1,9,21776508.0,0,0,1,0
2,1,14,7,5,3,3690180.0,1,0,0,0
4,1,16,7,1,1,11550708.0,0,0,1,0
4,2,10,7,7,7,7816068.0,0,0,1,0
10,1,10,7,7,3,5326308.0,0,1,0,0
2,1,10,7,7,7,8367372.0,0,0,1,0
7,1,14,7,7,3,6135480.0,0,0,1,0
2,2,14,7,1,9,17632836.0,0,0,1,0
7,1,14,7,5,1,3900831.48,0,0,1,0
7,1,10,5,5,3,2036268.0,0,0,1,0
10,1,14,7,5,3,4881708.0,0,0,1,0
2,3,16,7,0,9,8438508.0,1,0,0,0
13,2,8,7,5,3,9683388.0,0,0,1,0
4,2,7,7,7,1,8491860.0,0,0,1,0
4,1,14,7,7,1,7736040.0,0,0,1,0
11,3,16,7,7,9,9736740.0,0,0,1,0
0,1,10,7,7,3,3458988.0,0,0,1,0
2,3,14,7,7,9,8438508.0,0,0,1,0
10,1,14,7,7,3,4614948.0,0,1,0,0
4,1,14,7,7,7,7602660.0,0,0,1,0
0,1,14,7,5,9,4712760.0,0,0,1,0
7,1,16,7,7,9,8687484.0,0,0,1,0
4,2,14,7,7,7,9747054.72,0,0,1,0
1,2,3,7,7,3,13426920.0,0,0,0,1
7,1,10,7,7,3,7647120.0,0,0,1,0
10,1,14,0,5,1,3547908.0,0,0,1,0
0,1,14,0,5,1,3512340.0,0,0,1,0
4,3,14,7,1,9,11995308.0,0,0,1,0
7,2,14,7,7,9,6215508.0,0,0,1,0
7,1,14,7,7,3,5326219.08,0,0,1,0
2,3,14,7,1,9,12884508.0,0,0,1,0
4,2,7,7,7,7,14662908.0,0,0,1,0
2,3,14,2,7,1,6215508.0,0,0,1,0
0,1,14,7,7,9,6126588.0,0,0,1,0
7,1,7,7,1,7,10643724.0,0,0,1,0
4,3,14,7,7,9,10625940.0,0,0,1,0
2,2,10,7,7,3,9327708.0,0,0,1,0
0,4,7,7,7,7,7531524.0,0,0,1,0
4,1,14,7,7,1,5334310.8,1,0,0,0
4,1,14,7,5,1,4312620.0,1,0,0,0
2,1,14,7,6,9,5130684.0,0,0,1,0
7,3,14,7,0,9,11106108.0,0,0,1,0
7,1,14,7,7,1,6393348.0,0,0,1,0
7,1,14,1,5,1,3103308.0,0,0,1,0
4,1,14,7,7,1,5753124.0,1,0,0,0
7,2,7,7,7,9,9950148.0,0,0,1,0
13,2,8,7,7,3,11915280.0,0,0,1,0
7,1,10,7,6,9,5859828.0,0,0,1,0
10,1,14,7,5,3,3689290.8,0,0,1,0
2,2,10,7,7,9,10608156.0,0,0,1,0
11,3,14,7,1,9,11550708.0,0,0,1,0
10,1,10,7,7,3,13160160.0,0,0,1,0
2,2,14,7,1,9,11221704.0,0,0,1,0
4,2,7,7,7,5,12262068.0,0,0,1,0
10,4,7,7,7,3,12439908.0,0,0,1,0
7,1,10,7,5,7,6420024.0,0,0,1,0
4,2,7,7,7,7,14485068.0,0,0,1,0
7,4,7,7,7,7,12439819.08,0,0,1,0
7,1,10,7,7,7,9638928.0,0,0,1,0
4,1,14,7,7,9,10050894.36,0,0,1,0
2,1,16,7,5,9,5015088.0,0,0,1,0
2,1,14,7,7,9,9941256.0,0,0,1,0
0,1,14,7,6,3,4259268.0,0,0,1,0
11,3,14,7,1,9,19931418.0,0,0,1,0
10,1,14,7,7,9,5593068.0,0,1,0,0
7,1,16,7,1,9,11301732.0,0,0,1,0
0,1,14,0,5,1,4010292.0,0,0,1,0
7,1,14,5,5,3,2303028.0,0,1,0,0
7,1,10,7,7,7,7220304.0,0,0,1,0
2,1,10,1,5,1,2471887.08,0,0,1,0
4,1,16,7,1,1,12413232.0,0,0,1,0
7,1,16,7,7,7,8251776.0,0,0,1,0
4,1,14,7,7,1,5681899.08,0,0,1,0
4,1,14,7,5,1,3992508.0,0,0,1,0
0,2,10,7,7,7,7860528.0,0,0,1,0
0,1,14,7,5,9,5086224.0,0,0,1,0
7,1,14,7,7,3,5317416.0,0,0,1,0
7,1,10,7,7,7,8785296.0,0,0,1,0
10,1,14,5,5,3,2243985.12,0,1,0,0
2,3,16,7,7,9,8340696.0,0,0,1,0
10,1,14,7,5,9,4437108.0,0,1,0,0
7,1,7,7,5,3,6215508.0,0,0,1,0
0,1,16,7,5,9,5824260.0,0,0,1,0
10,1,10,7,7,1,9923649.84,0,0,1,0
10,3,14,7,7,9,7727148.0,0,1,0,0
16,1,14,7,5,3,5352984.0,0,0,1,0
7,1,14,0,5,1,3281148.0,0,0,1,0
2,2,10,7,7,7,9772308.0,0,0,1,0
7,2,5,6,7,3,17908488.0,0,0,1,0
2,1,14,5,5,3,3058848.0,0,0,1,0
11,3,16,7,1,9,18041868.0,0,0,1,0
0,1,14,7,5,3,3974724.0,0,0,1,0
4,3,14,7,1,9,11108419.92,0,0,1,0
4,3,14,7,7,9,7993908.0,0,0,1,0
10,1,14,7,5,3,4428216.0,0,0,1,0
11,3,16,7,1,9,16805880.0,0,0,1,0
7,2,10,7,5,3,9621144.0,0,0,1,0
7,1,14,7,6,1,5504148.0,0,0,1,0
10,4,10,7,5,3,5593068.0,0,0,1,0
2,4,7,7,7,3,11692980.0,0,0,1,0
4,4,14,7,7,7,9327708.0,0,0,1,0
16,1,14,7,5,3,3974724.0,0,0,1,0
2,1,14,0,5,1,3583476.0,0,0,1,0
0,1,16,7,5,9,7158060.0,0,0,1,0
4,1,14,7,7,1,6473376.0,0,0,1,0
10,3,14,7,1,9,9594468.0,0,0,1,0
0,1,14,5,5,3,3094416.0,0,0,1,0
11,3,14,7,1,9,15996708.0,0,0,1,0
0,1,14,8,5,3,3232330.92,0,0,1,0
4,3,14,7,7,9,9429877.08,0,0,1,0
0,1,16,7,7,9,7593768.0,0,0,1,0
7,1,7,7,5,7,6704568.0,0,0,1,0
8,2,6,7,7,3,11995308.0,0,0,1,0
7,1,16,7,6,1,6215508.0,0,0,1,0
10,1,14,0,5,1,2747628.0,0,1,0,0
16,1,14,7,5,3,4348188.0,0,0,1,0
7,1,16,7,7,9,8207316.0,0,0,1,0
4,1,14,7,7,3,4081428.0,0,0,1,0
0,1,14,7,5,3,3992508.0,0,0,1,0
11,3,17,7,4,8,24888708.0,0,0,1,0
10,1,14,7,7,1,7229196.0,0,0,1,0
7,4,7,7,7,7,13329108.0,0,0,1,0
4,1,14,7,1,1,9327708.0,1,0,0,0
4,2,7,7,7,7,12439908.0,0,0,1,0
10,4,9,7,1,7,16441308.0,0,0,1,0
16,1,14,7,7,3,7051356.0,0,0,1,0
18,1,14,7,7,9,10661508.0,0,1,0,0
4,1,16,7,1,9,13773708.0,0,0,1,0
4,1,14,7,1,9,21314124.0,0,0,1,0
10,3,14,7,7,9,6926868.0,0,1,0,0
0,2,7,7,7,3,8794188.0,0,0,1,0
4,1,16,7,7,1,9647820.0,0,0,1,0
10,4,10,7,1,3,25111008.0,0,0,1,0
17,1,10,5,5,3,2311920.0,0,0,1,0
18,2,7,7,7,9,8891110.8,0,1,0,0
10,1,16,7,7,9,6206616.0,0,1,0,0
4,4,7,7,7,7,7460388.0,0,0,1,0
7,1,16,7,7,9,8127288.0,0,0,1,0
14,3,16,7,4,9,54232308.0,0,0,1,0
7,1,7,7,7,7,8527428.0,0,0,1,0
7,3,16,7,1,9,12262068.0,0,0,1,0
7,1,16,7,7,9,9292140.0,0,0,1,0
4,3,14,7,1,9,16405740.0,0,0,1,0
10,1,14,7,5,3,4383756.0,0,0,1,0
0,1,14,7,7,9,6597864.0,0,0,1,0
10,3,14,7,1,9,15552108.0,0,0,1,0
4,4,14,9,1,10,27165060.0,0,0,1,0
10,3,14,7,1,9,12431016.0,0,1,0,0
4,1,14,7,6,3,3903588.0,0,0,1,0
4,2,7,7,7,7,17330508.0,0,0,1,0
4,2,7,7,7,7,12884508.0,0,0,1,0
10,1,14,7,7,3,5308524.0,0,0,1,0
0,1,14,7,7,9,6926868.0,1,0,0,0
2,3,16,7,1,9,12511044.0,0,0,1,0
7,1,14,7,5,3,3103308.0,0,1,0,0
10,1,14,7,7,3,4881708.0,0,1,0,0
8,2,6,7,7,3,13329108.0,0,0,1,0
4,2,7,7,7,1,8286276.96,0,0,1,0
10,1,16,7,7,9,5237388.0,0,1,0,0
7,1,10,7,7,9,9167652.0,0,0,1,0
4,2,10,7,7,7,10216908.0,0,0,1,0
4,4,7,7,1,7,11372868.0,0,0,1,0
4,1,14,7,7,1,6022996.2,1,0,0,0
10,4,10,7,7,7,7993908.0,0,0,1,0
16,2,7,7,7,3,12119796.0,0,0,1,0
7,1,14,7,7,7,7060248.0,0,0,1,0
4,3,16,7,1,9,21841775.28,0,0,1,0
0,1,14,7,7,9,7398144.0,0,0,1,0
4,1,14,7,1,1,7638316.92,0,0,1,0
2,1,14,7,7,9,6837948.0,0,0,1,0
2,1,16,7,7,9,7922772.0,0,0,1,0
7,1,14,7,7,0,11283948.0,0,0,1,0
2,1,14,7,5,3,3547819.08,0,0,1,0
7,1,14,1,5,1,2934360.0,0,0,1,0
10,3,14,7,1,9,13329108.0,0,0,1,0
4,1,10,7,7,3,7638228.0,0,0,1,0
0,4,7,7,7,3,6126588.0,0,0,1,0
4,1,14,7,1,1,7993908.0,1,0,0,0
0,1,14,7,5,3,3467880.0,1,0,0,0
2,1,14,0,5,1,5112900.0,0,0,1,0
2,3,16,7,4,9,34589880.0,0,0,1,0
0,3,14,7,7,9,7522632.0,0,0,1,0
10,1,14,7,7,3,5237388.0,0,0,1,0
2,1,16,7,7,9,10181340.0,0,0,1,0
2,1,16,7,7,9,7904988.0,0,1,0,0
4,3,14,7,7,9,7816068.0,0,0,1,0
10,4,9,7,7,3,9594468.0,0,0,1,0
4,1,14,7,7,1,8758620.0,0,0,1,0
7,1,14,7,7,3,4970628.0,0,0,1,0
2,3,16,7,1,9,26667108.0,0,0,1,0
7,1,7,7,5,7,6002100.0,0,0,1,0
1,2,7,7,7,5,18139680.0,0,0,0,1
4,4,14,7,7,7,7282548.0,0,0,1,0
2,3,16,7,1,9,15996708.0,0,0,1,0
2,1,14,0,5,1,4170348.0,0,0,1,0
10,4,9,7,7,7,16441308.0,0,0,1,0
0,1,16,7,5,9,6242184.0,0,0,1,0
4,2,7,7,7,7,8438508.0,0,0,1,0
7,1,14,0,7,1,3964942.8,0,0,1,0
7,1,16,7,1,9,9416628.0,0,0,1,0
11,3,16,7,1,9,22221108.0,0,0,1,0
10,4,14,7,7,9,15107508.0,0,0,1,0
4,1,16,7,7,1,10154664.0,0,0,1,0
10,1,14,7,5,3,3948048.0,0,1,0,0
7,1,14,7,5,3,6420024.0,0,0,1,0
4,1,14,7,5,3,5842044.0,0,0,1,0
4,1,14,7,7,1,5023980.0,0,0,1,0
4,4,14,7,7,7,7104708.0,0,0,1,0
2,4,7,7,7,7,13329108.0,0,0,1,0
10,1,14,7,5,3,4152564.0,0,1,0,0
7,1,16,7,7,9,9052056.0,0,0,1,0
10,1,14,7,7,7,7824960.0,0,0,1,0
1,2,7,7,7,4,17418538.8,0,0,0,1
2,3,16,3,1,1,13773708.0,0,0,1,0
4,1,14,7,7,1,6536242.44,1,0,0,0
10,4,10,7,1,3,22221108.0,0,0,1,0
16,1,14,7,7,9,7220304.0,0,0,1,0
4,1,14,7,0,3,6340618.44,0,0,1,0
4,1,16,7,7,1,9772308.0,1,0,0,0
0,1,14,7,7,9,6624540.0,0,0,1,0
10,1,16,7,5,3,4348188.0,0,0,1,0
10,1,16,7,7,9,7549308.0,0,1,0,0
10,1,16,7,6,9,7638228.0,0,0,1,0
4,1,14,7,5,1,3805776.0,1,0,0,0
10,3,14,7,7,9,7371468.0,0,0,1,0
10,1,14,7,6,3,5148468.0,0,0,1,0
0,1,14,7,7,9,8456292.0,0,0,1,0
0,1,14,7,0,3,5859828.0,0,0,1,0
10,1,14,7,7,3,9754524.0,0,0,1,0
2,2,14,7,7,9,8687484.0,0,0,1,0
10,3,14,7,1,9,10483668.0,0,0,1,0
10,1,14,7,7,9,5859916.92,0,1,0,0
0,1,14,5,3,3,1769508.0,0,0,0,0
2,3,16,7,7,9,10554804.0,0,0,1,0
7,1,16,7,7,3,4348188.0,0,0,1,0
4,1,14,7,7,9,16263468.0,0,0,1,0
10,1,14,7,7,7,6571188.0,0,0,1,0
10,3,14,7,7,9,11550708.0,0,0,1,0
0,1,14,7,7,9,8705268.0,1,0,0,0
4,4,16,7,1,10,25652175.12,0,0,1,0
10,1,14,0,6,1,4437108.0,0,0,1,0
2,2,14,7,1,9,13053456.0,0,0,1,0
2,1,10,7,5,3,4526028.0,0,0,1,0
2,3,16,7,1,9,18868824.0,0,0,1,0
10,1,16,7,6,9,5770908.0,0,0,1,0
10,1,14,7,7,9,4881708.0,0,1,0,0
2,3,14,7,7,9,11248380.0,0,0,1,0
10,1,14,8,5,3,3201031.08,0,1,0,0
7,4,7,7,1,3,17561700.0,0,0,1,0
16,1,14,7,7,9,9274356.0,0,0,1,0
10,1,14,7,7,9,7282548.0,0,0,1,0
7,1,14,7,5,3,4170348.0,0,0,1,0
10,1,7,7,7,3,8883108.0,0,0,1,0
4,2,7,7,1,7,22221108.0,0,0,1,0
11,3,14,7,1,9,18664308.0,0,0,1,0
0,1,14,0,7,1,4170348.0,0,0,1,0
2,4,2,5,3,3,2445300.0,0,0,1,0
4,1,14,7,7,1,7504848.0,0,0,1,0
7,4,7,7,1,7,21776508.0,0,0,1,0
10,1,7,5,5,3,4089430.8,0,0,0,0
7,1,10,7,7,3,8714160.0,0,0,1,0
0,1,2,8,5,3,4312620.0,0,0,1,0
7,1,10,7,7,3,11488464.0,0,0,1,0
10,1,16,7,5,9,5237388.0,0,0,1,0
2,1,10,7,7,3,9727848.0,0,0,1,0
7,1,14,7,7,7,8020584.0,0,0,1,0
0,1,14,0,7,1,5859828.0,0,0,1,0
10,1,10,5,5,3,2596464.0,0,0,1,0
0,1,14,7,6,3,4881708.0,0,0,1,0
2,2,14,7,7,9,9335710.8,0,0,1,0
7,2,5,7,7,3,11870820.0,0,0,1,0
4,1,14,7,4,9,23465988.0,0,0,1,0
11,3,16,7,7,9,10661508.0,0,0,1,0
16,1,14,7,7,3,8385156.0,0,0,1,0
2,1,10,7,7,3,11861928.0,0,0,1,0
10,1,14,7,5,3,3992508.0,0,0,1,0
2,3,14,7,7,9,8883108.0,0,0,1,0
7,1,10,7,7,3,11275056.0,0,0,1,0
4,2,14,7,7,9,9327708.0,0,0,1,0
7,1,14,7,7,3,10172448.0,0,0,1,0
2,1,14,5,5,3,2445211.08,1,0,0,0
4,1,14,7,7,9,10161333.0,0,0,1,0
4,1,14,5,5,3,2444410.8,1,0,0,0
10,1,14,0,0,1,7993908.0,0,0,1,0
7,1,14,7,7,9,6366672.0,0,0,1,0
10,4,9,7,1,7,18664308.0,0,0,1,0
4,2,7,7,7,7,14040468.0,0,0,1,0
10,3,14,7,1,9,10039068.0,0,0,1,0
7,1,10,5,3,3,2480868.0,0,0,1,0
4,2,14,7,1,7,14297980.32,0,0,1,0
2,4,2,5,5,3,3334500.0,0,0,1,0
4,2,14,7,7,1,5895396.0,0,0,1,0
4,1,14,7,1,9,18027818.64,0,0,1,0
7,1,14,7,7,3,11595168.0,0,0,1,0
11,3,16,7,7,9,12528828.0,0,0,1,0
7,4,14,7,7,10,15456696.84,0,0,1,0
16,1,14,7,1,9,12475476.0,0,0,1,0
4,1,14,7,7,1,8633242.8,0,0,1,0
10,1,14,5,5,3,2863135.08,0,1,0,0
4,3,14,7,7,9,8883108.0,0,0,1,0
4,1,14,7,7,3,4956134.04,0,0,1,0
4,1,10,7,7,3,12688884.0,0,0,1,0
7,1,14,7,5,3,3903588.0,0,0,1,0
2,1,10,7,7,3,8402940.0,0,0,1,0
10,1,16,7,6,9,6393348.0,0,0,1,0
7,1,14,7,7,3,5681988.0,0,0,1,0
10,1,14,7,7,9,4437108.0,0,1,0,0
7,1,14,8,7,3,3458988.0,0,0,1,0
4,1,16,7,7,1,9647820.0,0,0,1,0
10,3,14,7,7,9,7193628.0,0,1,0,0
4,1,14,7,7,1,7993908.0,0,0,1,0
7,2,10,7,7,3,15561000.0,0,0,1,0
2,4,14,7,0,9,9772308.0,0,0,1,0
0,1,14,0,5,1,3787992.0,0,0,1,0
2,3,16,3,1,1,19553508.0,0,0,1,0
10,1,16,0,5,1,4348188.0,0,0,1,0
4,4,7,7,7,7,7727236.92,0,0,1,0
7,1,14,0,5,1,4348099.08,0,0,1,0
10,4,2,5,5,3,4917276.0,0,0,1,0
4,1,14,5,5,3,2747628.0,0,0,1,0
2,1,10,5,5,3,2543112.0,0,0,1,0
0,1,14,7,7,9,7522632.0,1,0,0,0
7,3,16,7,7,9,10590372.0,0,0,1,0
10,1,14,7,5,3,3587922.0,0,1,0,0
2,3,14,7,7,9,14716260.0,0,0,1,0
10,1,10,7,7,9,9772308.0,0,0,1,0
2,2,7,7,1,3,15551218.8,0,0,1,0
10,2,10,7,7,3,20291544.0,0,0,1,0
10,1,7,7,5,3,4881708.0,0,0,1,0
4,4,14,7,7,0,12173148.0,0,0,1,0
4,4,14,7,7,10,18984420.0,0,0,1,0
10,4,10,7,1,3,22310028.0,0,0,1,0
2,3,16,7,7,9,9238788.0,0,0,1,0
2,3,16,7,1,9,14147172.0,0,0,1,0
0,1,14,7,0,9,6170959.08,0,0,1,0
11,3,16,7,7,9,11995308.0,0,0,1,0
4,1,14,7,7,1,6925712.04,1,0,0,0
7,2,14,0,5,1,4437108.0,0,0,1,0
10,1,14,7,7,1,10933247.52,0,0,1,0
10,1,10,7,7,3,8340696.0,0,0,1,0
4,4,14,7,7,10,24115104.0,0,0,1,0
10,2,10,7,1,3,23341500.0,0,0,1,0
10,1,14,5,5,3,2720952.0,0,0,1,0
2,3,16,7,1,9,13595868.0,0,0,1,0
10,1,14,7,7,1,10176894.0,0,0,1,0
0,1,14,7,7,9,7816068.0,1,0,0,0
11,3,16,7,1,9,19998108.0,0,0,1,0
2,2,10,7,7,3,16654716.0,0,0,1,0
16,2,7,7,1,3,15534324.0,0,0,1,0
4,2,10,7,7,3,14938560.0,0,0,1,0
10,1,14,7,5,3,3636828.0,0,0,1,0
10,1,2,5,3,3,2707169.4,0,0,1,0
10,4,14,7,7,10,17117100.0,0,0,1,0
10,2,10,7,7,9,17277156.0,0,0,1,0
7,1,14,7,5,1,4170348.0,0,0,1,0
0,4,7,7,7,3,7015876.92,0,0,1,0
2,4,7,7,7,3,8251776.0,0,0,1,0
4,1,14,7,5,1,5325418.8,1,0,0,0
4,1,7,7,5,3,6126588.0,0,0,1,0
7,2,10,7,7,3,13338000.0,0,0,1,0
4,1,14,7,7,3,4801235.4,0,0,1,0
10,2,10,7,7,1,10807158.96,0,0,1,0
10,4,14,7,1,9,16885908.0,0,0,1,0
3,1,4,5,6,3,3992508.0,0,0,1,0
7,1,14,7,7,3,12688884.0,0,0,1,0
2,1,14,7,7,9,5308524.0,1,0,0,0
4,3,16,7,1,9,24888708.0,0,0,1,0
4,3,14,7,7,9,10305828.0,0,0,1,0
4,1,14,7,7,1,10158220.8,0,0,1,0
4,2,10,7,7,3,9772308.0,1,0,0,0
7,3,16,7,0,9,17775108.0,0,0,1,0
12,4,2,5,5,3,2658708.0,0,0,1,0
15,4,2,5,5,3,2391948.0,0,0,0,0
10,1,7,7,7,3,8980920.0,0,0,1,0
10,1,10,7,5,3,5326308.0,0,0,1,0
10,4,14,7,1,9,21740940.0,0,0,1,0
10,1,14,7,1,10,21776508.0,0,0,1,0
2,3,16,3,7,1,15071940.0,0,0,1,0
7,1,14,5,5,3,3085524.0,0,0,1,0
6,2,4,7,1,3,19553508.0,0,0,0,0
10,2,10,7,2,3,21180744.0,0,0,1,0
2,1,14,7,5,3,4970628.0,1,0,0,0
10,1,16,0,7,1,4614948.0,0,0,1,0
4,1,14,7,5,1,6660108.0,0,0,1,0
10,2,5,7,7,3,12706668.0,0,0,1,0
10,1,14,8,5,3,3103308.0,0,0,1,0
7,3,14,7,7,9,9772308.0,0,0,1,0
4,1,10,7,7,9,10483668.0,0,0,1,0
0,1,14,7,5,3,3928485.6,1,0,0,0
4,4,14,9,7,10,17721756.0,0,0,1,0
11,3,14,7,7,9,9138664.08,0,0,1,0
13,2,8,7,1,5,23021388.0,0,0,1,0
7,1,14,7,7,3,5237388.0,0,0,1,0
4,4,14,7,1,10,17561700.0,0,0,1,0
7,4,14,7,7,3,13640328.0,0,0,1,0
10,1,10,7,7,3,11959740.0,0,0,1,0
4,1,14,7,7,1,8705268.0,0,0,1,0
4,4,2,8,5,3,4259268.0,0,0,1,0
4,1,16,7,7,9,18193032.0,0,0,1,0
13,2,8,6,5,3,8794188.0,0,0,1,0
13,2,8,7,7,5,15996708.0,0,0,1,0
7,1,16,7,7,3,5689990.8,0,0,1,0
0,1,14,7,5,9,4837248.0,0,0,1,0
0,4,2,5,5,3,3868020.0,0,0,1,0
2,1,14,7,7,3,6660108.0,0,0,1,0
10,1,10,7,7,1,7104708.0,0,1,0,0
10,1,14,7,7,10,18584280.0,0,0,1,0
2,1,14,8,5,3,2703168.0,0,0,1,0
0,1,14,7,5,9,4170348.0,0,0,1,0
4,1,14,7,7,1,6749028.0,0,0,1,0
7,3,16,7,0,9,15107508.0,0,0,1,0
10,2,10,7,0,3,16521336.0,0,0,1,0
7,4,7,7,7,7,17775108.0,0,0,1,0
7,1,14,7,7,0,10261368.0,0,0,1,0
6,2,4,7,7,3,11337300.0,0,0,0,0
4,2,7,7,7,7,16377730.2,0,0,1,0
2,1,14,7,0,3,11550708.0,0,0,1,0
4,1,10,7,7,3,6580080.0,0,0,1,0
4,4,14,7,7,10,21411936.0,0,0,1,0
10,1,10,7,7,3,12128688.0,0,0,1,0
4,1,14,7,7,1,6002100.0,0,0,1,0
16,1,7,7,7,3,14867424.0,0,0,1,0
4,1,14,7,7,9,11221704.0,0,0,1,0
4,1,14,7,5,3,5216047.2,0,0,1,0
7,1,7,7,5,7,6455592.0,0,0,1,0
3,1,14,4,5,3,2213218.8,0,0,1,0
10,1,14,7,5,3,5023980.0,0,0,1,0
10,1,10,7,7,7,9327708.0,0,0,1,0
4,4,14,7,1,10,20789496.0,0,0,1,0
